education,language,age_category,income_category,gender,province,health,citizenship,born_in_canada,marital_status,owns_house
High School,French only,45-54,"$25,000 to $49,999",Female,Quebec,Excellent,Yes,Yes,Never Married,Owns a residence
College/Trade,English only,45-54,"Less than $25,000",Male,Manitoba,Good/Very Good,Yes,Yes,Married,Owns a residence
NA,Both English and French,55-64,"$25,000 to $49,999",Female,Ontario,NA,Yes,Yes,Married,Owns a residence
High School,English only,75-84,"$50,000 to $74,999",Female,Alberta,NA,Yes,Yes,Married,Owns a residence
College/Trade,Both English and French,25-34,"Less than $25,000",Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,No residence
High School,French only,55-64,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Married,Owns a residence
No degree/diploma,English only,55-64,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Never Married,No residence
No degree/diploma,Both English and French,75-84,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Divorced,No residence
High School,English only,55-64,"Less than $25,000",Female,British Columbia,NA,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,25-34,"Less than $25,000",Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,15-24,"Less than $25,000",Male,British Columbia,Excellent,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,35-44,"$25,000 to $49,999",Female,Manitoba,NA,Yes,Yes,Never Married,Owns a residence
High School,English only,55-64,"Less than $25,000",Female,Prince Edward Island,Good/Very Good,Yes,Yes,Married,Owns a residence
College/Trade,French only,25-34,"$25,000 to $49,999",Female,Quebec,NA,Yes,Yes,Living with a partner,Owns a residence
High School,Both English and French,65-74,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence
NA,English only,25-34,"$25,000 to $49,999",Female,British Columbia,Excellent,No,No,Never Married,Owns a residence
High School,English only,65-74,"$125,000 and more",Male,Ontario,Excellent,Yes,Yes,Married,Owns a residence
NA,English only,25-34,"$75,000 to $99,999",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence
NA,French only,65-74,"$50,000 to $74,999",Male,Quebec,Poor/Fair,Yes,Yes,Married,No residence
NA,Both English and French,35-44,"$75,000 to $99,999",Male,New Brunswick,Excellent,Yes,Yes,Living with a partner,Owns a residence
Postgrad,English only,NA,"$25,000 to $49,999",Male,Ontario,NA,Yes,Yes,Married,Owns a residence
College/Trade,English only,25-34,"$25,000 to $49,999",Male,Manitoba,Excellent,No,No,Never Married,No residence
NA,English only,45-54,"$75,000 to $99,999",Male,British Columbia,NA,Yes,Yes,Never Married,Owns a residence
No degree/diploma,English only,15-24,"Less than $25,000",Male,Saskatchewan,Good/Very Good,Yes,Yes,Never Married,No residence
