education,language,age_category,income_category,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,total_samples,category_samples,poststrat_weight
High School,French only,45-54,"$25,000 to $49,999",Female,Quebec,Excellent,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,45-54,"Less than $25,000",Male,Manitoba,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,25-34,"Less than $25,000",Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,No residence,10066,2,1.9868865487780648e-4
High School,French only,55-64,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
No degree/diploma,English only,55-64,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Never Married,No residence,10066,3,2.9803298231670974e-4
No degree/diploma,Both English and French,75-84,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Divorced,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,25-34,"Less than $25,000",Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Male,British Columbia,Excellent,Yes,Yes,Never Married,Owns a residence,10066,6,5.960659646334195e-4
High School,English only,55-64,"Less than $25,000",Female,Prince Edward Island,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,3,2.9803298231670974e-4
High School,Both English and French,65-74,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,65-74,"$125,000 and more",Male,Ontario,Excellent,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,English only,25-34,"$25,000 to $49,999",Male,Manitoba,Excellent,No,No,Never Married,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Male,Saskatchewan,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
Postgrad,Both English and French,25-34,"$100,000 to $ 124,999",Female,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,35-44,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,No,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,Manitoba,Good/Very Good,Yes,Yes,Widowed,No residence,10066,2,1.9868865487780648e-4
No degree/diploma,English only,15-24,"Less than $25,000",Male,Alberta,Excellent,Yes,Yes,Never Married,No residence,10066,3,2.9803298231670974e-4
No degree/diploma,English only,65-74,"Less than $25,000",Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Married,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Male,Alberta,Excellent,Yes,Yes,Never Married,Owns a residence,10066,3,2.9803298231670974e-4
No degree/diploma,English only,75-84,"$25,000 to $49,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,2,1.9868865487780648e-4
No degree/diploma,French only,35-44,"$50,000 to $74,999",Female,Quebec,Excellent,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,25-34,"$25,000 to $49,999",Female,Nova Scotia,Good/Very Good,Yes,Yes,Never Married,No residence,10066,3,2.9803298231670974e-4
No degree/diploma,English only,45-54,"Less than $25,000",Female,Prince Edward Island,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
High School,Both English and French,55-64,"$125,000 and more",Male,British Columbia,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,35-44,"$100,000 to $ 124,999",Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,75-84,"$25,000 to $49,999",Female,Nova Scotia,Good/Very Good,Yes,Yes,Widowed,No residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,65-74,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,Yes,Separated,No residence,10066,1,9.934432743890324e-5
High School,English only,25-34,"Less than $25,000",Female,British Columbia,Poor/Fair,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
Postgrad,English only,55-64,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,No,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,45-54,"$50,000 to $74,999",Female,Ontario,Good/Very Good,No,No,Separated,No residence,10066,1,9.934432743890324e-5
Postgrad,Both English and French,45-54,"$100,000 to $ 124,999",Female,Prince Edward Island,Excellent,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,45-54,"$75,000 to $99,999",Male,Ontario,Poor/Fair,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
High School,English only,45-54,"$50,000 to $74,999",Female,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,65-74,"Less than $25,000",Female,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,5,4.967216371945162e-4
College/Trade,English only,45-54,"$25,000 to $49,999",Male,Nova Scotia,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,French only,65-74,"$25,000 to $49,999",Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,French only,55-64,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
College/Trade,English only,45-54,"$25,000 to $49,999",Female,Alberta,Poor/Fair,Yes,Yes,Separated,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,35-44,"$25,000 to $49,999",Female,Manitoba,Excellent,Yes,Yes,Married,Owns a residence,10066,4,3.9737730975561295e-4
High School,Both English and French,55-64,"Less than $25,000",Male,Quebec,Poor/Fair,Yes,Yes,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
High School,English only,75-84,"$25,000 to $49,999",Male,British Columbia,Excellent,No,No,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,Both English and French,35-44,"$50,000 to $74,999",Female,Ontario,Excellent,Yes,Yes,Living with a partner,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,35-44,"$25,000 to $49,999",Male,Quebec,Excellent,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,15-24,"Less than $25,000",Female,Ontario,Excellent,No,No,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
No degree/diploma,Both English and French,15-24,"Less than $25,000",Male,Quebec,Good/Very Good,Yes,Yes,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
Postgrad,English only,55-64,"$50,000 to $74,999",Female,Ontario,Excellent,Yes,Yes,Never Married,Owns a residence,10066,2,1.9868865487780648e-4
High School,English only,55-64,"Less than $25,000",Female,Ontario,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,5,4.967216371945162e-4
High School,English only,35-44,"$75,000 to $99,999",Male,Nova Scotia,Good/Very Good,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
No degree/diploma,English only,55-64,"Less than $25,000",Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Divorced,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,75-84,"Less than $25,000",Male,Ontario,Good/Very Good,Yes,No,Married,Owns a residence,10066,2,1.9868865487780648e-4
College/Trade,English only,65-74,"Less than $25,000",Female,Manitoba,Poor/Fair,Yes,Yes,Married,Owns a residence,10066,1,9.934432743890324e-5
College/Trade,English only,65-74,"$25,000 to $49,999",Female,British Columbia,Good/Very Good,Yes,Yes,Widowed,Owns a residence,10066,2,1.9868865487780648e-4
Postgrad,Both English and French,25-34,"$50,000 to $74,999",Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,10066,1,9.934432743890324e-5
Postgrad,Both English and French,55-64,"Less than $25,000",Male,British Columbia,Excellent,Yes,No,Married,Owns a residence,10066,1,9.934432743890324e-5
