education,language,age_category,income_category,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,total_samples,category_samples,poststrat_weight
High School,French,45-54,"$25,000 to $49,999",Female,Quebec,Excellent,Yes,Yes,Never Married,Own a residence,12146,1,8.233163181294254e-5
College/Trade,English,45-54,"Less than $25,000",Male,Manitoba,Good/Very Good,Yes,Yes,Married,Own a residence,12146,1,8.233163181294254e-5
College/Trade,English_and_French,25-34,"Less than $25,000",Male,Quebec,Good/Very Good,Yes,Yes,Living with a partner,No residence,12146,2,1.6466326362588507e-4
High School,French,55-64,"Less than $25,000",Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,12146,3,2.469948954388276e-4
No degree/diploma,English,55-64,"Less than $25,000",Female,Nova Scotia,Poor/Fair,Yes,Yes,Never Married,No residence,12146,3,2.469948954388276e-4
No degree/diploma,English_and_French,75-84,"Less than $25,000",Female,Quebec,Good/Very Good,Yes,Yes,Divorced,No residence,12146,1,8.233163181294254e-5
No degree/diploma,English,25-34,"Less than $25,000",Male,Saskatchewan,Poor/Fair,Yes,Yes,Never Married,Own a residence,12146,1,8.233163181294254e-5
No degree/diploma,English,15-24,"Less than $25,000",Male,British Columbia,Excellent,Yes,Yes,Never Married,Own a residence,12146,6,4.939897908776552e-4
High School,English,55-64,"Less than $25,000",Female,Prince Edward Island,Good/Very Good,Yes,Yes,Married,Own a residence,12146,3,2.469948954388276e-4
High School,English_and_French,65-74,"$25,000 to $49,999",Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,12146,1,8.233163181294254e-5
Bachelor,English,25-34,"$25,000 to $49,999",Female,British Columbia,Excellent,No,No,Never Married,Own a residence,12146,1,8.233163181294254e-5
High School,English,65-74,"$125,000 and more",Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,12146,2,1.6466326362588507e-4
Bachelor,English,25-34,"$75,000 to $99,999",Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,No residence,12146,1,8.233163181294254e-5
Bachelor,French,65-74,"$50,000 to $74,999",Male,Quebec,Poor/Fair,Yes,Yes,Married,No residence,12146,1,8.233163181294254e-5
Bachelor,English_and_French,35-44,"$75,000 to $99,999",Male,New Brunswick,Excellent,Yes,Yes,Living with a partner,Own a residence,12146,1,8.233163181294254e-5
College/Trade,English,25-34,"$25,000 to $49,999",Male,Manitoba,Excellent,No,No,Never Married,No residence,12146,1,8.233163181294254e-5
No degree/diploma,English,15-24,"Less than $25,000",Male,Saskatchewan,Good/Very Good,Yes,Yes,Never Married,No residence,12146,1,8.233163181294254e-5
Bachelor,English,75-84,"$75,000 to $99,999",Male,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,12146,1,8.233163181294254e-5
Postgrad,English_and_French,25-34,"$100,000 to $ 124,999",Female,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,12146,1,8.233163181294254e-5
High School,English,35-44,"$25,000 to $49,999",Male,Alberta,Good/Very Good,Yes,No,Living with a partner,Own a residence,12146,1,8.233163181294254e-5
Bachelor,English_and_French,35-44,"$25,000 to $49,999",Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,12146,1,8.233163181294254e-5
No degree/diploma,English,75-84,"$25,000 to $49,999",Male,Manitoba,Good/Very Good,Yes,Yes,Widowed,No residence,12146,2,1.6466326362588507e-4
No degree/diploma,English,15-24,"Less than $25,000",Male,Alberta,Excellent,Yes,Yes,Never Married,No residence,12146,3,2.469948954388276e-4
No degree/diploma,English,65-74,"Less than $25,000",Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Married,No residence,12146,1,8.233163181294254e-5
No degree/diploma,English,15-24,"Less than $25,000",Male,Alberta,Excellent,Yes,Yes,Never Married,Own a residence,12146,3,2.469948954388276e-4
No degree/diploma,English,75-84,"$25,000 to $49,999",Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,12146,2,1.6466326362588507e-4
