cps19_ResponseId,education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice,liberal_favour,conservative_favour,ndp_favour,bloc_favour,green_favour,people_favour
R_xsAVU6LftA3gfWF,Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,1,0,80,10,0,7,30
R_1rIWCvU8MuRHQSQ,College/Trade,English,55-64,"$125,000 and more",200000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,70.14285714285714,6.571428571428571,53.142857142857146,12.857142857142858,53.714285714285715,9.571428571428571
R_2Xik6QTgJCpeuDg,Bachelor,English_and_French,25-34,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,No,Living with a partner,Own a residence,0,86,14,42,15,72,10
R_30e4xFgOVpu1FWz,Bachelor,English,65-74,"$125,000 and more",150000,Male,Alberta,Good/Very Good,Yes,Yes,Married,No residence,1,21,94,34,13,51,0
R_2Wu0jeDP2crJZpq,Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1,22,100,1,4,3,37
R_3HojhMlSO6s0221,Bachelor,English,35-44,"$50,000 to $74,999",60000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2,61,61,30,30,51,1
R_1dAdPpMSNlbDJTF,Bachelor,English,25-34,"$100,000 to $ 124,999",100000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,0,79,39.5,68,11,58,34.5
R_3OdyWbYS9KtEaMJ,High School,English,35-44,"Less than $25,000",22000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1,46,78,68,54,79,67
R_29iiuc9rXjUIbVA,Bachelor,English,65-74,"$50,000 to $74,999",55000,Female,Ontario,Excellent,Yes,Yes,Widowed,No residence,2,0,100,0,0,2,0
R_3pr2hyNP9hyomgo,Bachelor,Neither English nor French,65-74,"$25,000 to $49,999",45000,Female,Ontario,Poor/Fair,Yes,No,Widowed,Own a residence,2,62,20,80,40,60,0
R_DBnspCtawnvRUNX,College/Trade,English,55-64,"$75,000 to $99,999",90000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,1,0,84,27,0,62,30
R_1E4XU2dKFtuO4zV,Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",36500,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1,77,85,47,58,70,52
R_wNWQGBNlBr8ntYZ,Bachelor,English,55-64,"$125,000 and more",130000,Male,Saskatchewan,Excellent,Yes,Yes,Widowed,Own a residence,1,15,80,10,10,30,15
R_2CPaDGPcWLcSkzV,Bachelor,English_and_French,45-54,"$25,000 to $49,999",29000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1,41,80,51,51,51,1
R_2OTgYli09bN6AmM,College/Trade,English,55-64,"$50,000 to $74,999",74000,Male,Prince Edward Island,Poor/Fair,Yes,Yes,Married,Own a residence,4,7,62,32,0,94,12
R_ULc9oL7y5NgHCcp,College/Trade,English,65-74,"$75,000 to $99,999",91000,Male,British Columbia,Good/Very Good,Yes,No,Married,Own a residence,1,19,75,30,0,31,30
R_1OAyGB8Ym0kT3lK,Bachelor,English,65-74,"$100,000 to $ 124,999",103000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,1,34,71,43,0,9,30
R_28BecXIsc25YU9X,Postgrad,English_and_French,55-64,"$100,000 to $ 124,999",100000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,1,19,89,58,0,71,32
R_1P0HXM6DJsVn3C0,Bachelor,English,25-34,"$100,000 to $ 124,999",101000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,0,79,39.5,68,11,58,34.5
R_3njfkeEp00ONu0q,Bachelor,English_and_French,45-54,"$100,000 to $ 124,999",123000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1,11,77,28,27,6,10
R_RKRD4qmRNrhwtTH,Bachelor,English,55-64,"$25,000 to $49,999",29000,Male,Alberta,Excellent,Yes,Yes,Widowed,Own a residence,1,70,70,60,19,81,23
R_1dNBFv9hzoeljP0,No degree/diploma,English,65-74,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1,3,99,51,2,51,51
R_1JLpKxElyp4zPHy,Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,74,20,30,1,63,16
R_VQivgI4nwrZlkUV,No degree/diploma,English,55-64,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,4,54,39,71,51,79,13
R_3VRygimwlRi957z,College/Trade,English,35-44,"$25,000 to $49,999",25000,Female,Maintoba,Excellent,Yes,Yes,Married,No residence,0,100,44,32,45,48,46
R_1d5dSqLrgTFez4Z,Bachelor,English,25-34,"$125,000 and more",165000,Female,Alberta,Good/Very Good,Yes,Yes,Never Married,Own a residence,1,60,95,15,25,0,60
R_1JOBEIwxAhEhPy0,College/Trade,English,65-74,"$125,000 and more",125000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,1,33,91,12,11,72,51
R_2OSF3bRhkHSJ45Y,College/Trade,English_and_French,45-54,"$25,000 to $49,999",48000,Female,Quebec,Don't Know,Yes,Yes,Married,No residence,0,91,26,19,0,23,7
R_1E54V9G16zwxpHz,Postgrad,English_and_French,65-74,"$75,000 to $99,999",94000,Male,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,0,90,10,80,0,77,0
R_2EnkttD9gjvMQmE,Bachelor,English,25-34,"$100,000 to $ 124,999",120000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,0,100,62,0,45,0
R_1DotsVzObkBRvfo,College/Trade,English,45-54,"$25,000 to $49,999",45000,Male,Ontario,Excellent,Yes,Yes,Never Married,No residence,4,37,12,53,14,100,7
R_2mJadSWBJNUNWAF,Bachelor,English,55-64,"$25,000 to $49,999",39000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,0,82,34,70,82,67,8
R_3egO3KLMdRlsiJz,Bachelor,English,65-74,"$50,000 to $74,999",73000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,89.33333333333333,13.666666666666666,36,6.666666666666667,64.33333333333333,2.6666666666666665
R_YPSVZ17j0qL2jcd,Postgrad,English,45-54,"$125,000 and more",190000,Female,British Columbia,Good/Very Good,Yes,Yes,Married,Own a residence,0,72,51.5,82,71,45,72.5
R_2rAsYYwXrNFwUbu,College/Trade,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,36.25,80.5,46.5,12.25,25.75,19.25
R_3r0NEMt1q9yB2oj,Bachelor,English,45-54,"$75,000 to $99,999",81000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1,4.333333333333333,86,15.666666666666666,7,24.666666666666668,23.666666666666668
R_2YArCky0wxjsLDz,Postgrad,English_and_French,55-64,"$125,000 and more",280000,Female,Quebec,Excellent,Yes,Yes,Living with a partner,No residence,0,70,0,9,10,91,0
R_1eqsvQYbC4GNu1X,Postgrad,English,75-84,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1,17.5,93,48,10.5,59,56.5
R_2TF48XAO0EVuGOd,College/Trade,English,45-54,"$125,000 and more",149500,Male,Nova Scoita,Excellent,Yes,Yes,Separated,Own a residence,4,20,31,28,31,20,28
R_W2TYH2Hul9PD7BT,Bachelor,English,45-54,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,No,Never Married,No residence,0,90,30,60,70,80,50
R_3jUM5oIRKSjOy5l,Bachelor,English,65-74,"$125,000 and more",160000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,0,95,5,49,20,59.5,5
R_2Pb6eqBCY7Yxlhm,Bachelor,English,45-54,"$75,000 to $99,999",95000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,0,60,83,11,12,7,5
R_2vkVOM1UlceC92T,High School,English_and_French,65-74,"$75,000 to $99,999",79000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2,41,21,94,51,51,51
R_bfiFI3DeSxh6pMt,Bachelor,English,25-34,"$50,000 to $74,999",52000,Male,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,0,70,17,56,7,32.5,16
R_3OkL9l7BcgQgdLD,High School,English,55-64,"$75,000 to $99,999",80000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,82,44.5,77,33,50.5,47
R_pEsAKhc10qqPUlz,Bachelor,English,55-64,"$50,000 to $74,999",65000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1,74,81,38,28,44,31
R_1o4H1fubSe7FlNW,High School,English,15-24,"$25,000 to $49,999",35600,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,0,65,56,52,30,52,18
R_1dzT4ZdNKmTUYHe,Bachelor,English_and_French,25-34,"$50,000 to $74,999",54000,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,0,79.5,28.5,73,25,80.5,8
