cps19_ResponseId,education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice,liberal_favour,conservative_favour,ndp_favour,bloc_favour,green_favour,people_favour
R_xsAVU6LftA3gfWF,Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,British Columbia,Excellent,Yes,Yes,Married,Own a residence,1,44,78,5.5,0,3.5,15
R_1rIWCvU8MuRHQSQ,College/Trade,English,55-64,"$125,000 and more",200000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,0,46.72727272727273,43.97727272727273,40.47727272727273,9.545454545454545,47.43181818181818,20.113636363636363
R_2Xik6QTgJCpeuDg,Bachelor,English_and_French,25-34,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,No,Living with a partner,Own a residence,0,71,45.5,64.75,35.25,56.25,32
R_30e4xFgOVpu1FWz,Bachelor,English,65-74,"$125,000 and more",150000,Male,Alberta,Good/Very Good,Yes,Yes,Married,No residence,1,34.625,65.375,32.375,4.125,21.5,21.375
R_2Wu0jeDP2crJZpq,Bachelor,English,55-64,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1,60,65.25,52.5,25.75,51.25,18
R_3HojhMlSO6s0221,Bachelor,English,35-44,"$50,000 to $74,999",60000,Male,Alberta,Good/Very Good,Yes,Yes,Married,Own a residence,2,69.66666666666667,56.333333333333336,51,27.333333333333332,54.666666666666664,33
R_1dAdPpMSNlbDJTF,Bachelor,English,25-34,"$100,000 to $ 124,999",100000,Male,Ontario,Excellent,Yes,No,Living with a partner,Own a residence,0,70.25,35.5,65.25,23.5,57.75,30
R_3OdyWbYS9KtEaMJ,High School,English,35-44,"Less than $25,000",22000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,1,46,78,68,54,79,67
R_29iiuc9rXjUIbVA,Bachelor,English,65-74,"$50,000 to $74,999",55000,Female,Ontario,Excellent,Yes,Yes,Widowed,No residence,2,53.57142857142857,49.142857142857146,33,9.571428571428571,40.57142857142857,9.142857142857142
R_3pr2hyNP9hyomgo,Bachelor,Neither English nor French,65-74,"$25,000 to $49,999",45000,Female,Ontario,Poor/Fair,Yes,No,Widowed,Own a residence,2,31,52.5,65.5,20,55.5,0
R_DBnspCtawnvRUNX,College/Trade,English,55-64,"$75,000 to $99,999",90000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,1,9.5,80,51,5.5,61.5,24
R_1E4XU2dKFtuO4zV,Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",36500,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,1,77,85,47,58,70,52
R_wNWQGBNlBr8ntYZ,Bachelor,English,55-64,"$125,000 and more",130000,Male,Saskatchewan,Excellent,Yes,Yes,Widowed,Own a residence,1,15,80,10,10,30,15
R_2CPaDGPcWLcSkzV,Bachelor,English_and_French,45-54,"$25,000 to $49,999",29000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1,66.5,45,30,25.5,67.5,0.5
