education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
Postgrad,Neither English nor French,25-34,"Less than $25,000",-33518847600107876e27,Female,Quebec,Poor/Fair,Yes,Don't know/Prefer not to say,Don't know/Prefer not to answer,No residence,5
Bachelor,English,15-24,"Less than $25,000",-4958714430165071e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-4909811770650129e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English_and_French,15-24,"Less than $25,000",3435670899566429e40,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
High School,Neither English nor French,15-24,"Less than $25,000",0,Female,Ontario,Poor/Fair,No,No,Never Married,No residence,3
Bachelor,English,15-24,"$125,000 and more",30786188013327658e43,Female,Ontario,Excellent,Yes,Yes,Don't know/Prefer not to answer,Own a residence,1
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,Neither English nor French,15-24,"Less than $25,000",-4831933387027136e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
Bachelor,English_and_French,15-24,"Less than $25,000",-3920259758608299e28,Female,Ontario,Excellent,Yes,Yes,Living with a partner,Own a residence,2
High School,English,15-24,"Less than $25,000",-4891583524818909e28,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"$25,000 to $49,999",30000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",16000,Male,Ontario,Poor/Fair,Yes,Yes,Don't know/Prefer not to answer,Own a residence,1
High School,English,15-24,"Less than $25,000",-4832739175672005e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
High School,English,15-24,"Less than $25,000",-4929836707378693e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,1
High School,English,15-24,"Less than $25,000",-4710063299008604e28,Female,Ontario,Poor/Fair,Yes,No,Never Married,No residence,5
Bachelor,English,15-24,"Less than $25,000",-4742371068053545e28,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
Bachelor,English,15-24,"Less than $25,000",-4972608839771187e28,Female,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
High School,English,15-24,"Less than $25,000",13000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,3
High School,English,15-24,"$50,000 to $74,999",55000,Male,Ontario,Poor/Fair,Yes,Don't know/Prefer not to say,Never Married,Own a residence,2
Bachelor,English,15-24,"$125,000 and more",1000000,Male,Ontario,Excellent,Yes,Yes,Never Married,Own a residence,1
Bachelor,Neither English nor French,15-24,"Less than $25,000",-451218774151461e29,Female,Ontario,Excellent,Yes,No,Never Married,Own a residence,1
Bachelor,English,15-24,"Less than $25,000",-44425632469836504e27,Female,Ontario,Poor/Fair,No,No,Never Married,No residence,1
High School,English,15-24,"$125,000 and more",190000,Female,Ontario,Excellent,Yes,No,Never Married,Own a residence,1
