province,language,total_samples,category_samples,poststrat_weight
Quebec,French,12146,1136,0.09352873373950271
Manitoba,English,12146,628,0.05170426477852791
Quebec,English_and_French,12146,1077,0.08867116746253911
Nova Scotia,English,12146,747,0.061501728964268074
Saskatchewan,English,12146,675,0.05557385147373621
British Columbia,English,12146,1408,0.11592293759262308
Prince Edward Island,English,12146,333,0.027416433393709864
Ontario,English,12146,2846,0.23431582413963445
New Brunswick,English_and_French,12146,257,0.02115922937592623
Ontario,English_and_French,12146,443,0.03647291289313354
Alberta,English,12146,936,0.07706240737691421
Newfoundland and Labrador,English,12146,534,0.04396509138811131
British Columbia,English_and_French,12146,112,0.009221142763049564
Prince Edward Island,English_and_French,12146,52,0.004281244854273012
New Brunswick,English,12146,517,0.042565453647291286
Quebec,English,12146,87,0.0071628519677260005
Nova Scotia,English_and_French,12146,86,0.007080520335913058
New Brunswick,French,12146,34,0.002799275481640046
Manitoba,English_and_French,12146,60,0.004939897908776552
Alberta,English_and_French,12146,60,0.004939897908776552
Newfoundland and Labrador,English_and_French,12146,37,0.0030462703770788736
Saskatchewan,English_and_French,12146,32,0.002634612218014161
British Columbia,Neither English nor French,12146,19,0.0015643010044459082
Ontario,French,12146,18,0.0014819693726329656
Manitoba,Neither English nor French,12146,2,1.6466326362588507e-4
Alberta,French,12146,1,8.233163181294254e-5
Saskatchewan,Neither English nor French,12146,2,1.6466326362588507e-4
Alberta,Neither English nor French,12146,3,2.469948954388276e-4
Ontario,Neither English nor French,12146,3,2.469948954388276e-4
Nova Scotia,French,12146,1,8.233163181294254e-5
